antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,case_count,antecedents_str,consequents_str
"frozenset({'METOCLOPRAMIDE', 'ZOPICLONE'})",frozenset({'Ischaemic stroke'}),0.0018443997317236754,0.004024144869215292,0.001006036217303823,0.5454545454545455,135.54545454545456,1.0,0.0009986140855866251,2.1911468812877266,0.9944565765160424,0.20689655172413796,0.5436179981634528,0.39772727272727276,6,"METOCLOPRAMIDE, ZOPICLONE",Ischaemic stroke
"frozenset({'GABAPENTIN', 'LEVETIRACETAM'})",frozenset({'Purpura'}),0.007377598926894702,0.0015090543259557343,0.0015090543259557343,0.20454545454545453,135.54545454545453,1.0,0.0014979211283799375,1.2552457602759415,1.0,0.2045454545454545,0.20334325623998165,0.6022727272727273,9,"GABAPENTIN, LEVETIRACETAM",Purpura
"frozenset({'PHENYTOIN', 'GABAPENTIN'})",frozenset({'Inspiratory capacity decreased'}),0.007545271629778672,0.002012072434607646,0.002012072434607646,0.26666666666666666,132.53333333333333,1.0,0.0019968908015497414,1.360892628498262,1.0,0.26666666666666666,0.26518817204301076,0.6333333333333333,12,"PHENYTOIN, GABAPENTIN",Inspiratory capacity decreased
"frozenset({'BENZTROPINE', 'MELATONIN'})",frozenset({'Cardiac arrest'}),0.0026827632461435278,0.00335345405767941,0.0011737089201877935,0.4375,130.4625,1.0,0.0011647123968942202,1.7718160816752366,0.9950043231818618,0.2413793103448276,0.43560733512786004,0.39375,7,"BENZTROPINE, MELATONIN",Cardiac arrest
"frozenset({'PHENYTOIN', 'IBUPROFEN'})",frozenset({'Inspiratory capacity decreased'}),0.00670690811535882,0.002012072434607646,0.001676727028839705,0.25,124.24999999999999,1.0,0.0016632322438993451,1.3306505700871898,0.9986495611073599,0.2380952380952381,0.24848790322580644,0.5416666666666666,10,"PHENYTOIN, IBUPROFEN",Inspiratory capacity decreased
"frozenset({'LAMOTRIGINE', 'MELATONIN'})",frozenset({'Cardiac arrest'}),0.005700871898054996,0.00335345405767941,0.002347417840375587,0.411764705882353,122.78823529411765,1.0,0.002328300228376744,1.6942991281019453,0.9975427607805349,0.35,0.4097854484997229,0.5558823529411765,14,"LAMOTRIGINE, MELATONIN",Cardiac arrest
"frozenset({'GABAPENTIN', 'AMITRIPTYLINE'})",frozenset({'Anal incontinence'}),0.007042253521126761,0.0011737089201877935,0.001006036217303823,0.14285714285714288,121.71428571428572,1.0,0.0009977706615278527,1.1652973395931143,0.9988179669030732,0.13953488372093023,0.14184992445862013,0.5,6,"GABAPENTIN, AMITRIPTYLINE",Anal incontinence
"frozenset({'ACYCLOVIR', 'METOCLOPRAMIDE'})",frozenset({'Inappropriate antidiuretic hormone secretion'}),0.0030181086519114686,0.002347417840375587,0.0008383635144198525,0.2777777777777778,118.33333333333334,1.0,0.0008312787523261636,1.38136511375948,0.9945509586276488,0.18518518518518517,0.27607843137254906,0.31746031746031744,5,"ACYCLOVIR, METOCLOPRAMIDE",Inappropriate antidiuretic hormone secretion
"frozenset({'BENZTROPINE', 'MELATONIN'})",frozenset({'Death'}),0.0026827632461435278,0.0031857813547954395,0.001006036217303823,0.37500000000000006,117.71052631578948,1.0,0.0009974895201749286,1.5949027498323274,0.9941717103788391,0.20689655172413796,0.37300252312867965,0.3453947368421053,6,"BENZTROPINE, MELATONIN",Death
"frozenset({'BENZTROPINE', 'LAMOTRIGINE'})",frozenset({'Death'}),0.0026827632461435278,0.0031857813547954395,0.001006036217303823,0.37500000000000006,117.71052631578948,1.0,0.0009974895201749286,1.5949027498323274,0.9941717103788391,0.20689655172413796,0.37300252312867965,0.3453947368421053,6,"BENZTROPINE, LAMOTRIGINE",Death
"frozenset({'ACYCLOVIR', 'CEFTRIAXONE'})",frozenset({'Stevens-Johnson syndrome'}),0.0031857813547954395,0.002850435949027498,0.001006036217303823,0.3157894736842105,110.78637770897832,1.0,0.0009969553516043727,1.457372439766806,0.9941407345107934,0.2,0.3138336003115237,0.33436532507739936,6,"ACYCLOVIR, CEFTRIAXONE",Stevens-Johnson syndrome
"frozenset({'CANDESARTAN', 'AZATHIOPRINE'})",frozenset({'Obstructive airways disorder'}),0.009892689470154259,0.0011737089201877935,0.0011737089201877935,0.11864406779661017,101.08474576271186,1.0,0.0011620977823120254,1.1332836764174794,1.0,0.11864406779661017,0.11760839690095401,0.559322033898305,7,"CANDESARTAN, AZATHIOPRINE",Obstructive airways disorder
"frozenset({'GABAPENTIN', 'AMANTADINE'})",frozenset({'Serotonin syndrome'}),0.002347417840375587,0.006539235412474849,0.0015090543259557343,0.6428571428571428,98.30769230769229,1.0,0.001493704008086075,2.78169014084507,0.9921568627450981,0.2045454545454545,0.640506329113924,0.43681318681318676,9,"GABAPENTIN, AMANTADINE",Serotonin syndrome
"frozenset({'LAMOTRIGINE', 'MELATONIN'})",frozenset({'Death'}),0.005700871898054996,0.0031857813547954395,0.001676727028839705,0.29411764705882354,92.3219814241486,1.0,0.001658565297440804,1.41215347641404,0.9948397976391231,0.23255813953488372,0.29186167318062634,0.41021671826625383,10,"LAMOTRIGINE, MELATONIN",Death
"frozenset({'RISPERIDONE', 'RIVASTIGMINE'})",frozenset({'Parkinsonism'}),0.0025150905432595573,0.003688799463447351,0.0008383635144198525,0.33333333333333337,90.36363636363637,1.0,0.0008290858497733551,1.494466800804829,0.9914271306101866,0.15625,0.3308650286098957,0.28030303030303033,5,"RISPERIDONE, RIVASTIGMINE",Parkinsonism
"frozenset({'LAMOTRIGINE', 'ZOPICLONE'})",frozenset({'Cerebrovascular accident'}),0.006539235412474849,0.002347417840375587,0.0013413816230717639,0.20512820512820512,87.38461538461537,1.0,0.0013260313052021046,1.2551113130395273,0.9950632911392404,0.17777777777777776,0.2032579185520362,0.38827838827838823,8,"LAMOTRIGINE, ZOPICLONE",Cerebrovascular accident
"frozenset({'ZOPICLONE', 'BACLOFEN'})",frozenset({'Suicidal ideation'}),0.0038564721663313212,0.004694835680751174,0.0015090543259557343,0.3913043478260869,83.34782608695652,1.0,0.0014909488228274181,1.6351441985244801,0.9918270399670837,0.21428571428571425,0.38843314191960615,0.35636645962732916,9,"ZOPICLONE, BACLOFEN",Suicidal ideation
"frozenset({'OXCARBAZEPINE', 'PREGABALIN'})",frozenset({'Parkinsonism'}),0.004527162977867203,0.003688799463447351,0.0013413816230717639,0.2962962962962963,80.32323232323232,1.0,0.0013246818267080686,1.4158106533940484,0.9920414350682162,0.19512195121951215,0.2936908635326676,0.32996632996632996,8,"OXCARBAZEPINE, PREGABALIN",Parkinsonism
"frozenset({'IBUPROFEN', 'GABAPENTIN'})",frozenset({'Inspiratory capacity decreased'}),0.01039570757880617,0.002012072434607646,0.001676727028839705,0.16129032258064516,80.16129032258064,1.0,0.0016558101121821472,1.1899086828664294,0.9978990172822771,0.15625,0.1595993756503642,0.4973118279569892,10,"IBUPROFEN, GABAPENTIN",Inspiratory capacity decreased
"frozenset({'MYCOPHENOLATE MOFETIL', 'ALEMTUZUMAB'})",frozenset({'Cytomegalovirus infection reactivation'}),0.007042253521126761,0.0038564721663313212,0.002012072434607646,0.28571428571428575,74.08695652173914,1.0,0.001984914179915172,1.3946009389671363,0.9934988179669031,0.22641509433962265,0.2829489984851035,0.40372670807453426,12,"MYCOPHENOLATE MOFETIL, ALEMTUZUMAB",Cytomegalovirus infection reactivation
"frozenset({'DIAZEPAM', 'ZOPICLONE'})",frozenset({'Myocardial infarction'}),0.005868544600938967,0.002347417840375587,0.001006036217303823,0.17142857142857146,73.02857142857144,1.0,0.000992260291010539,1.204063461227133,0.992129083038174,0.13953488372093023,0.16947899159663868,0.30000000000000004,6,"DIAZEPAM, ZOPICLONE",Myocardial infarction
"frozenset({'TOPIRAMATE', 'OXCARBAZEPINE'})",frozenset({'Hypokalaemia'}),0.004862508383635144,0.002850435949027498,0.001006036217303823,0.20689655172413796,72.5841784989858,1.0,0.0009921759486046617,1.257275537281661,0.991041842179163,0.15000000000000002,0.20462939876959116,0.2799188640973631,6,"TOPIRAMATE, OXCARBAZEPINE",Hypokalaemia
"frozenset({'DULOXETINE', 'AMANTADINE'})",frozenset({'Serotonin syndrome'}),0.002850435949027498,0.006539235412474849,0.0013413816230717639,0.47058823529411764,71.96380090497738,1.0,0.0013227419513728918,1.8765369997764365,0.9889229863796872,0.16666666666666666,0.46710349962769915,0.3378582202111614,8,"DULOXETINE, AMANTADINE",Serotonin syndrome
"frozenset({'PREGABALIN', 'BACLOFEN'})",frozenset({'Altered state of consciousness'}),0.008886653252850436,0.001676727028839705,0.001006036217303823,0.11320754716981132,67.51698113207547,1.0,0.0009911357255988425,1.1257687971802446,0.9940224440309028,0.10526315789473685,0.11171814096754362,0.35660377358490564,6,"PREGABALIN, BACLOFEN",Altered state of consciousness
"frozenset({'MELATONIN', 'PHENOBARBITAL'})",frozenset({'Product use issue'}),0.006371562709590879,0.002012072434607646,0.0008383635144198525,0.13157894736842105,65.39473684210526,1.0,0.0008255434687265107,1.1491982196207549,0.9910226122173472,0.1111111111111111,0.1298280984719864,0.2741228070175438,5,"MELATONIN, PHENOBARBITAL",Product use issue
"frozenset({'PREDNISOLONE', 'LEVETIRACETAM'})",frozenset({'Hepatic cytolysis'}),0.0038564721663313212,0.00335345405767941,0.0008383635144198525,0.2173913043478261,64.82608695652175,1.0,0.000825431012185341,1.2734928087040764,0.9883857936374348,0.13157894736842105,0.21475803148224004,0.23369565217391305,5,"PREDNISOLONE, LEVETIRACETAM",Hepatic cytolysis
"frozenset({'PHENOBARBITAL', 'BACLOFEN'})",frozenset({'Product prescribing error'}),0.007880617035546614,0.001676727028839705,0.0008383635144198525,0.10638297872340426,63.4468085106383,1.0,0.0008251498708324169,1.1171712816582033,0.9920567855332095,0.09615384615384616,0.10488211036385336,0.30319148936170215,5,"PHENOBARBITAL, BACLOFEN",Product prescribing error
"frozenset({'CLOBAZAM', 'BACLOFEN'})",frozenset({'Product prescribing error'}),0.007880617035546614,0.001676727028839705,0.0008383635144198525,0.10638297872340426,63.4468085106383,1.0,0.0008251498708324169,1.1171712816582033,0.9920567855332095,0.09615384615384616,0.10488211036385336,0.30319148936170215,5,"CLOBAZAM, BACLOFEN",Product prescribing error
"frozenset({'MELATONIN', 'BACLOFEN'})",frozenset({'Product use issue'}),0.007209926224010731,0.002012072434607646,0.0008383635144198525,0.11627906976744186,57.7906976744186,1.0,0.0008238566206089657,1.1293021285608387,0.9898327985137645,0.09999999999999999,0.1144973743435859,0.26647286821705424,5,"MELATONIN, BACLOFEN",Product use issue
"frozenset({'GABAPENTIN', 'DULOXETINE'})",frozenset({'Cholestatic liver injury'}),0.011234071093226022,0.0018443997317236754,0.0011737089201877935,0.10447761194029852,56.645861601085485,1.0,0.0011529888024772827,1.1146070869662419,0.9935075946607235,0.09859154929577466,0.10282285866150519,0.3704206241519674,7,"GABAPENTIN, DULOXETINE",Cholestatic liver injury
"frozenset({'GABAPENTIN', 'PHENOBARBITAL'})",frozenset({'Product use issue'}),0.007545271629778672,0.002012072434607646,0.0008383635144198525,0.11111111111111112,55.22222222222222,1.0,0.0008231818813619477,1.1227364185110664,0.9893563101875318,0.09615384615384616,0.10931899641577061,0.2638888888888889,5,"GABAPENTIN, PHENOBARBITAL",Product use issue
"frozenset({'PHENOBARBITAL', 'BACLOFEN'})",frozenset({'Product use issue'}),0.007880617035546614,0.002012072434607646,0.0008383635144198525,0.10638297872340426,52.87234042553191,1.0,0.0008225071421149297,1.1167960141803202,0.9888794997464933,0.09259259259259259,0.10458133150308854,0.26152482269503546,5,"PHENOBARBITAL, BACLOFEN",Product use issue
"frozenset({'VALPROIC ACID', 'RISPERIDONE'})",frozenset({'Neuroleptic malignant syndrome'}),0.007545271629778672,0.0021797451374916165,0.0008383635144198525,0.11111111111111112,50.97435897435898,1.0,0.000821916745273789,1.122547786720322,0.9878357830714648,0.09433962264150943,0.10916932728392989,0.24786324786324787,5,"VALPROIC ACID, RISPERIDONE",Neuroleptic malignant syndrome
"frozenset({'TOPIRAMATE', 'PHENOBARBITAL'})",frozenset({'Multiple-drug resistance'}),0.0035211267605633804,0.004694835680751174,0.0008383635144198525,0.2380952380952381,50.714285714285715,1.0,0.0008218324028679118,1.3063380281690142,0.9837455830388693,0.11363636363636363,0.23450134770889486,0.20833333333333334,5,"TOPIRAMATE, PHENOBARBITAL",Multiple-drug resistance
"frozenset({'DULOXETINE', 'BACLOFEN'})",frozenset({'Suicidal ideation'}),0.003688799463447351,0.004694835680751174,0.0008383635144198525,0.2272727272727273,48.409090909090914,1.0,0.0008210452070797241,1.2880419773543221,0.9829686974082801,0.1111111111111111,0.2236277873070326,0.20292207792207795,5,"DULOXETINE, BACLOFEN",Suicidal ideation
"frozenset({'VALPROIC ACID', 'PREGABALIN'})",frozenset({'Serotonin syndrome'}),0.0026827632461435278,0.006539235412474849,0.0008383635144198525,0.3125,47.78846153846153,1.0,0.0008208202939973847,1.4450338394000366,0.981708137188971,0.09999999999999999,0.3079746835443038,0.2203525641025641,5,"VALPROIC ACID, PREGABALIN",Serotonin syndrome
"frozenset({'LEVETIRACETAM', 'PREGABALIN'})",frozenset({'Ischaemic stroke'}),0.007042253521126761,0.004024144869215292,0.0011737089201877935,0.16666666666666666,41.416666666666664,1.0,0.0011453698718130378,1.1951710261569415,0.9827760891590678,0.11864406779661017,0.1632996632996633,0.22916666666666663,7,"LEVETIRACETAM, PREGABALIN",Ischaemic stroke
"frozenset({'DULOXETINE', 'ZOPICLONE'})",frozenset({'Suicidal ideation'}),0.004694835680751174,0.004694835680751174,0.0008383635144198525,0.17857142857142858,38.035714285714285,1.0,0.0008163220323505982,1.2116758522147377,0.9783018867924529,0.09803921568627451,0.17469676549865226,0.17857142857142858,5,"DULOXETINE, ZOPICLONE",Suicidal ideation
"frozenset({'CARBAMAZEPINE', 'AMITRIPTYLINE'})",frozenset({'Depressed level of consciousness'}),0.00687458081824279,0.00335345405767941,0.0008383635144198525,0.12195121951219512,36.36585365853659,1.0,0.0008153099234800711,1.1350696773231985,0.979233496538916,0.08928571428571429,0.11899681580934247,0.18597560975609756,5,"CARBAMAZEPINE, AMITRIPTYLINE",Depressed level of consciousness
"frozenset({'LAMOTRIGINE', 'PRAMIPEXOLE'})",frozenset({'Suicidal ideation'}),0.006036217303822937,0.004694835680751174,0.001006036217303823,0.16666666666666669,35.5,1.0,0.0009776971689290674,1.1943661971830988,0.9777327935222672,0.10344827586206898,0.16273584905660377,0.1904761904761905,6,"LAMOTRIGINE, PRAMIPEXOLE",Suicidal ideation
"frozenset({'CLOBAZAM', 'BACLOFEN'})",frozenset({'Drug dependence'}),0.007880617035546614,0.003688799463447351,0.001006036217303823,0.1276595744680851,34.6073500967118,1.0,0.0009769662014114647,1.1421128396394626,0.9788180947552252,0.09523809523809523,0.124429771478906,0.20019342359767894,6,"CLOBAZAM, BACLOFEN",Drug dependence
"frozenset({'LAMOTRIGINE', 'ZONISAMIDE'})",frozenset({'Foetal exposure during pregnancy'}),0.004862508383635144,0.006371562709590879,0.001006036217303823,0.20689655172413796,32.471869328493646,1.0,0.0009750544402115803,1.252835855713994,0.9739399045212019,0.09836065573770493,0.2018108394334726,0.1823956442831216,6,"LAMOTRIGINE, ZONISAMIDE",Foetal exposure during pregnancy
"frozenset({'LAMOTRIGINE', 'DIAZEPAM'})",frozenset({'Drug reaction with eosinophilia and systemic symptoms'}),0.0053655264922870555,0.004862508383635144,0.0008383635144198525,0.15625,32.133620689655174,1.0,0.0008122735968684903,1.179422212286062,0.9741065407956845,0.08928571428571429,0.15212721145745578,0.16433189655172414,5,"LAMOTRIGINE, DIAZEPAM",Drug reaction with eosinophilia and systemic symptoms
"frozenset({'LAMOTRIGINE', 'PRAMIPEXOLE'})",frozenset({'Suicide attempt'}),0.006036217303822937,0.0053655264922870555,0.001006036217303823,0.16666666666666669,31.062500000000004,1.0,0.0009736487334469596,1.1935613682092556,0.9736842105263159,0.09677419354838711,0.16217127444369522,0.17708333333333337,6,"LAMOTRIGINE, PRAMIPEXOLE",Suicide attempt
"frozenset({'GABAPENTIN', 'PHENOBARBITAL'})",frozenset({'Drug dependence'}),0.007545271629778672,0.003688799463447351,0.0008383635144198525,0.11111111111111112,30.121212121212125,1.0,0.0008105305204803604,1.1208501006036218,0.9741510390268627,0.08064516129032258,0.10782003814652755,0.1691919191919192,5,"GABAPENTIN, PHENOBARBITAL",Drug dependence
"frozenset({'TRIHEXYPHENIDYL', 'AMANTADINE'})",frozenset({'Somnolence'}),0.00335345405767941,0.008551307847082495,0.0008383635144198525,0.25,29.235294117647058,1.0,0.000809687096421588,1.3219315895372235,0.9690444145356663,0.07575757575757575,0.243531202435312,0.17401960784313725,5,"TRIHEXYPHENIDYL, AMANTADINE",Somnolence
"frozenset({'PHENOBARBITAL', 'BACLOFEN'})",frozenset({'Drug dependence'}),0.007880617035546614,0.003688799463447351,0.0008383635144198525,0.10638297872340426,28.8394584139265,1.0,0.0008092934985274941,1.1149196767909042,0.9729930708129121,0.07812499999999999,0.10307440005156226,0.16682785299806577,5,"PHENOBARBITAL, BACLOFEN",Drug dependence
"frozenset({'LAMOTRIGINE', 'PRAMIPEXOLE'})",frozenset({'Condition aggravated'}),0.006036217303822937,0.012910798122065728,0.002012072434607646,0.33333333333333337,25.81818181818182,1.0,0.0019341400515770681,1.4806338028169015,0.9671052631578947,0.11881188118811882,0.32461355529131986,0.2445887445887446,12,"LAMOTRIGINE, PRAMIPEXOLE",Condition aggravated
"frozenset({'LAMOTRIGINE', 'ZOLPIDEM'})",frozenset({'Suicidal ideation'}),0.008551307847082495,0.004694835680751174,0.001006036217303823,0.11764705882352941,25.058823529411764,1.0,0.0009658892321062527,1.1280125195618154,0.9683747674615255,0.0821917808219178,0.1134850166481687,0.16596638655462187,6,"LAMOTRIGINE, ZOLPIDEM",Suicidal ideation
"frozenset({'AMITRIPTYLINE', 'PREGABALIN'})",frozenset({'Serotonin syndrome'}),0.015761234071093227,0.006539235412474849,0.0025150905432595573,0.15957446808510636,24.402618657937804,1.0,0.002412024123277559,1.1820925553319919,0.9743781942078363,0.12711864406779658,0.15404255319148935,0.27209492635024546,15,"AMITRIPTYLINE, PREGABALIN",Serotonin syndrome
"frozenset({'PREDNISOLONE', 'LEVETIRACETAM'})",frozenset({'Condition aggravated'}),0.0038564721663313212,0.012910798122065728,0.0011737089201877935,0.30434782608695654,23.57312252964427,1.0,0.0011239187865849244,1.4189407276995305,0.9612859787914493,0.07526881720430106,0.29524892726050767,0.19762845849802374,7,"PREDNISOLONE, LEVETIRACETAM",Condition aggravated
"frozenset({'TOPIRAMATE', 'LEVETIRACETAM'})",frozenset({'Multiple-drug resistance'}),0.009221998658618377,0.004694835680751174,0.001006036217303823,0.1090909090909091,23.236363636363638,1.0,0.000962740448953502,1.1171792660726263,0.9658712698144074,0.07792207792207792,0.1048885077186964,0.16168831168831171,6,"TOPIRAMATE, LEVETIRACETAM",Multiple-drug resistance
"frozenset({'PHENYTOIN', 'GABAPENTIN'})",frozenset({'Drug ineffective for unapproved indication'}),0.007545271629778672,0.008886653252850436,0.0015090543259557343,0.19999999999999998,22.50566037735849,1.0,0.0014420021132833215,1.238891683433937,0.9628315593850312,0.10112359550561796,0.19282693283708338,0.18490566037735848,9,"PHENYTOIN, GABAPENTIN",Drug ineffective for unapproved indication
"frozenset({'PHENYTOIN', 'IBUPROFEN'})",frozenset({'Drug ineffective for unapproved indication'}),0.00670690811535882,0.008886653252850436,0.0013413816230717639,0.19999999999999998,22.50566037735849,1.0,0.0012817796562518415,1.238891683433937,0.962018906144497,0.09411764705882351,0.19282693283708338,0.17547169811320754,8,"PHENYTOIN, IBUPROFEN",Drug ineffective for unapproved indication
"frozenset({'ZOLPIDEM', 'PRAMIPEXOLE'})",frozenset({'Condition aggravated'}),0.0031857813547954395,0.012910798122065728,0.0008383635144198525,0.2631578947368421,20.38277511961722,1.0,0.0007972325344870475,1.3396210596914822,0.9539781328847772,0.054945054945054944,0.2535202453219851,0.1640464798359535,5,"ZOLPIDEM, PRAMIPEXOLE",Condition aggravated
"frozenset({'CARBAMAZEPINE', 'AMITRIPTYLINE'})",frozenset({'Fall'}),0.00687458081824279,0.008886653252850436,0.0011737089201877935,0.17073170731707316,19.212149102623098,1.0,0.0011126169041973729,1.1951660946068567,0.9545114686090542,0.08045977011494251,0.1632962108677084,0.1514035895075932,7,"CARBAMAZEPINE, AMITRIPTYLINE",Fall
"frozenset({'LAMOTRIGINE', 'CLOBAZAM'})",frozenset({'Foetal exposure during pregnancy'}),0.015761234071093227,0.006371562709590879,0.0018443997317236754,0.11702127659574467,18.366181410974242,1.0,0.0017439760404591646,1.1253141337987767,0.9606938206597491,0.0909090909090909,0.11135924630729348,0.20324748040313548,11,"LAMOTRIGINE, CLOBAZAM",Foetal exposure during pregnancy
"frozenset({'RISPERIDONE', 'ZOPICLONE'})",frozenset({'Fall'}),0.007042253521126761,0.008886653252850436,0.001006036217303823,0.14285714285714288,16.07547169811321,1.0,0.0009434541521429044,1.1562989045383412,0.9444444444444443,0.06741573033707865,0.13517171375401796,0.1280323450134771,6,"RISPERIDONE, ZOPICLONE",Fall
"frozenset({'GABAPENTIN', 'DULOXETINE'})",frozenset({'Serotonin syndrome'}),0.011234071093226022,0.006539235412474849,0.0011737089201877935,0.10447761194029852,15.977037887485649,1.0,0.0011002466846687098,1.1093645204560698,0.9480607572857871,0.0707070707070707,0.09858303419610807,0.141982395713739,7,"GABAPENTIN, DULOXETINE",Serotonin syndrome
"frozenset({'IBUPROFEN', 'GABAPENTIN'})",frozenset({'Drug ineffective for unapproved indication'}),0.01039570757880617,0.008886653252850436,0.0013413816230717639,0.12903225806451613,14.51978088861838,1.0,0.001248998574500884,1.1379449536726531,0.940909861064046,0.07476635514018691,0.12122287042746983,0.1399878271454656,8,"IBUPROFEN, GABAPENTIN",Drug ineffective for unapproved indication
